Canonical SMILES,Mutagenicity
OC[C@H]1O[C@H](C[C@H]1O)n1cc(CO)c(=O)[nH]c1=O,mutagenic
COc1cc(CC2NCCc3c2cc(O)c(c3)O)cc(c1OC)OC,non-mutagenic
CC(CC(=O)OCC1=CO[C@H]([C@@H]2[C@@H]1C[C@@H]([C@@]12CO1)OC(=O)C)OC(=O)CC(C)C)C,mutagenic
O=CC=CNCCCCC(C(=O)O)N,mutagenic
CCCCCCCC1CCC(=O)O1,non-mutagenic
N#CCc1ccccc1,non-mutagenic
Nc1cnc2c(c1)nc1n2cccc1,mutagenic
ClCN1C(=O)c2c(C1=O)cccc2,mutagenic
CC(=O)N(c1ccc(cc1)/C=C/c1ccccc1)O,mutagenic
ClCCN(CCCNc1c2ccccc2nc2c1cccc2)CC,mutagenic
c1cc2CCc3c4c2c(c1)cc1c4c2c(c3)cccc2cc1,mutagenic
CC(=O)Nc1cccc2c1nccc2,mutagenic
[O-][N+](=O)c1ccc2c(c1)/c(=N/C(=O)c1ccccc1)/sn2C(=O)c1ccccc1,mutagenic
OCc1ccccc1[N+](=O)[O-],non-mutagenic
Cc1cccc2c1-c1cc3ccccc3cc1C1C2O1,mutagenic
COC(=O)[C@@]12O[C@@]2(C)[C@@H](OC1=O)C(C)C,mutagenic
O[C@@H]1C=Cc2c([C@@H]1O)c1cc3ccccc3c(c1cc2)C,mutagenic
Cc1cccc(c1)NC(=O)c1csc(c1)[N+](=O)[O-],mutagenic
Cc1ccccc1OC[C@H]1CO1,mutagenic
CNC(=O)Oc1ccccc1OC(C)C,mutagenic
Nc1ccc(c(c1)C)c1ccc(cc1C)N,mutagenic
CC1CCC(C(C1)OC(=O)c1ccccc1N)C(C)C,non-mutagenic
COC(=O)C1c2cc3c(c(c2C(CC1(O)CC)OC1OC(C)C(C(C1)N(C)C)O)O)C(=O)c1c(C3=O)c(O)ccc1O,mutagenic
C=CC(=C)C,non-mutagenic
ON(c1ccc(cc1)Oc1ccc(cc1)Cl)C(=O)C,mutagenic
OCC12C(C=C(C(=O)C1O)C)OC1C3(C2(C)CC1O)CO3,non-mutagenic
OC(=O)O,non-mutagenic
COP1(=S)OCc2c(O1)cccc2,mutagenic
C=C[C@@H]1CC[C@@]2([C@H](C1)O2)C,non-mutagenic
ClC[C@H](OP(=O)(O[C@@H](CCl)C)O[C@@H](CCl)C)C,non-mutagenic
CCC(c1ccc(cc1)C[N+](C)(C)C)CC(c1cccc(c1)C(CC)C)C,non-mutagenic
[O-][N+](=O)c1ccc(o1)C(=O)OC,mutagenic
ClC(=C(SSc1ccccc1[N+](=O)[O-])F)Cl,mutagenic
Nc1nccs1,mutagenic
O=NN(Cc1ccc(cc1)F)C,mutagenic
Clc1c(Cl)cccc1Cl,non-mutagenic
N#Cc1cc(I)c(c(c1)[N+](=O)[O-])O,non-mutagenic
OCCOc1ccccc1,non-mutagenic
CC(OC(=O)COc1ccc(cc1Cl)Cl)C,non-mutagenic
CCCCCCOC(=O)c1ccccc1,non-mutagenic
COC(=O)c1cc(ccc1[N+](=O)[O-])Oc1ccc(cc1Cl)Cl,mutagenic non-mutagenic
Nc1cc(Cl)c(c(c1)Cl)N,mutagenic
CNC(=O)/C=C(/OP(=O)(OC)OC)\C,mutagenic
COC(=C1C(=NC(=C([C@@H]1c1cccc(c1)[N+](=O)[O-])C(=O)OC/C=C/c1ccccc1)C)C)O,non-mutagenic
Oc1ccc2-c3c4c(-c2c1)ccc1c4c2c(c3)cccc2cc1,mutagenic
CC1=CC(=O)c2c(C1=O)cccc2O,mutagenic
CCOC(=O)CC(=O)CCl,non-mutagenic
ClC(C(Cl)(Cl)Cl)(Cl)Cl,non-mutagenic
N#CCCN(c1ccc(cc1)N=Nc1c(Cl)cc(cc1Cl)[N+](=O)[O-])CC,mutagenic
C=CC1CC2CC1C=C2,non-mutagenic
O=NN(c1ccccc1)O,mutagenic
CNCCS(=O)(=O)O,non-mutagenic
CCOc1ccc(cc1)N,mutagenic
n1sc2c(c1)cc(cc2)OC[C@H]1CO1,mutagenic
CCN(CCC[C@H](Nc1ccnc2c1ccc(c2)Cl)C)CC,mutagenic
NC(=N)c1ccc2c(c1)[nH]c(c2)C(=N)N,non-mutagenic
C[C@H](c1ccccc1)O,non-mutagenic
CC[C@]1(OCCc2c1[nH]c1c2cc(cc1CC)O)CC(=O)O,mutagenic
COC1C(COC2OC(CO)C(C(C2O)O)O)OC(C(C1O)O)COCC1C(CO)OC(C(C1O)O)CC,non-mutagenic
O=C(n1cncc1)n1cncc1,non-mutagenic
O/N=C/C=N/O,non-mutagenic
Clc1ccc2c(c1)nc([nH]2)N,non-mutagenic
O=C1N(C)CCCN1C,non-mutagenic
BrCc1ccc2c3c1-c1ccccc1-c3ccc2,mutagenic
Clc1ccc(cc1)C(=O)/N=c/1\sn(c2c1cc(cc2)[N+](=O)[O-])C(=O)c1ccc(cc1)Cl,mutagenic
[O-][N+](=Nc1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-])c1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C,mutagenic
O=NN(C(C(=O)O)C)CC1(O)CCC(C(C1O)O)O,non-mutagenic
OCCOCCOCC,non-mutagenic
O=Nc1ccc(cc1)Nc1ccccc1,mutagenic
O=C/C=C/c1ccccc1[N+](=O)[O-],mutagenic
COc1cc2OC3C(c2c2c1c1CCC(=O)c1c(=O)o2)C1C(O3)O1,mutagenic
OOC12C=CC3C(C2(C)CCC(C1)O)CCC1(C3CCC1C(CCCC(C)C)C)C,mutagenic
COc1cccc2c1nc(s2)N,mutagenic
Clc1cccc(n1)Cl,non-mutagenic
NCC(C)C,non-mutagenic
Cc1cccc2c1cc1ccc3c4c1c2ccc4ccc3,mutagenic
Cc1c(N)ccc(c1C)N,non-mutagenic
O=C1c2c3ccccc3ccc2-c2c3c1cccc3ccc2,non-mutagenic
COc1c(OC)ccc2c1c[n+]1CCc3c(-c1c2)cc1c(c3)OCO1,non-mutagenic
CC(=O)Nc1ccc2-c3c(Cc2c1)cccc3O,mutagenic
OC(=O)COc1ccc(cc1C)Cl,non-mutagenic
[O-][N+](=O)c1cccc2c1ccc1c2cccc1,mutagenic
ClCC(CCl)Cl,mutagenic
OC1C=Cc2c(C1O)ccc1c2ccc2c1CCC2=O,mutagenic
OC1CCC2(C(C1)CC(=O)C1C2CCC2(C1CCC2C(CCC(=O)O)C)C)C,non-mutagenic
Nc1ccc(cc1)c1ccc(cc1[N+](=O)[O-])N,mutagenic
COC(=O)C1CSC2N1C(=O)C(=C2Cl)Cl,mutagenic
OC1C(N)CC(OC1C)OC1CC(O)(Cc2c1c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2)C(=O)C,mutagenic
COc1cc(F)ccc1[N+](=O)[O-],mutagenic
OCc1ccc(o1)c1[nH]ccc2-c1nc1c2cccc1,mutagenic
ClCCOC(=O)c1[n+]([O-])nnc2c1n(C)c1c2cccc1,mutagenic
Cc1ccc2c3c1CC(c3c1c(c2)c2ccccc2cc1)OS(=O)(=O)O,mutagenic
CCC(=O)OCc1cccc(c1)[N+](=O)[O-],non-mutagenic
Nc1ccnc2c1cccc2,non-mutagenic
Cc1cc(ccc1N)c1ccccc1C,mutagenic
OC(=O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,non-mutagenic
N#N=Nc1ccc(cc1)Nc1c2ccccc2nc2c1cccc2,mutagenic
Oc1cccc2c1cc1c(c2)c2ccccc2c2c1cccc2,mutagenic
Oc1c(N=Nc2ccc(c3c2cccc3)S(=O)(=O)O)c2ccc(cc2cc1S(=O)(=O)O)S(=O)(=O)O,non-mutagenic
COc1ccc(c(c1)O)C(=O)c1ccccc1O,mutagenic
CCc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C,non-mutagenic
Cn1c(N)nc2c1cc1ccncc1n2,mutagenic
OC(=O)C1OC1C(=O)O,non-mutagenic
S=C1NCCN1,mutagenic
ONc1cccc(c1C)C,mutagenic
Clc1cc(Cl)c(cc1O)Cl,non-mutagenic
Oc1cc2cccc3c2c2c1=C(O)C14C(c2cc3)(O4)CCCC1,mutagenic
O[C@H]1C=C2c3c([C@@H]1O)cccc3-c1c2cc2ccccc2c1,mutagenic
COc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)cc(c1)C,mutagenic
CC(=CCOc1c2occc2cc2c1oc(=O)cc2)C,mutagenic
Nc1ccccc1C(F)(F)F,non-mutagenic
Oc1ccc2-c3c4c(-c2c1)cccc4c(cc3)[N+](=O)[O-],mutagenic
Oc1cc2ccc3-c4c(-c5c3c2c2c1cccc2c5)cccc4,non-mutagenic
N#CC(=Cc1ccc(o1)[N+](=O)[O-])C#N,mutagenic
COc1cccc2c1cc([N+](=O)[O-])c1c2c2OCOc2cc1C(=O)O,mutagenic
ClCCC(=O)/N=c/1\sn(c2c1cccc2)C(=O)CCCl,non-mutagenic
COc1cc(N)ccc1NC(=O)C,mutagenic
OCc1ccc(cc1)OC(=O)C,non-mutagenic
[N-]=[N+]=NC[C@@H](CO)O,mutagenic
Nc1ccc(cc1Cl)Oc1ccc(c(c1)Cl)N,mutagenic
O=C1N(SC2CCCCC2)C(=O)c2c1cccc2,non-mutagenic
COc1ccccc1CC1CO1,mutagenic
Cc1cc2c(c3c1ncc(n3)c1ccccc1)nc(n2C)N,mutagenic
COc1ccc(cc1)Nc1ccc(cc1)OC,non-mutagenic
CCCCN(C[C@@H](CC)O)N=O,mutagenic
O=C/C=C/C=C/C=O,mutagenic
OCc1c2ccc3c(c2nc2c1cc(C)cc2)C=CC(C3O)O,mutagenic
Cc1cccnc1,non-mutagenic
OCCN(CC)CC,non-mutagenic
O=Nc1ccc2c3c1ccc1c3c(cc2)ccc1[N+](=O)[O-],mutagenic
COc1c(N)cc(c(c1C)N)C,non-mutagenic
OC[C@H]([C@H]([C@H]([C@H]([C@H]1SCCN1N=O)O)O)O)O,mutagenic
CCOC(=O)c1[nH]c2c(c1/N=C/c1ccc(cc1)NC(=O)C)cccc2,mutagenic
[O-][N+](=O)c1ccc2c(c1)/c(=N/C(=O)c1ccc(cc1)[N+](=O)[O-])/sn2C(=O)c1ccc(cc1)[N+](=O)[O-],mutagenic
CCCCCc1cc(O)cc(c1)O,non-mutagenic
O=C1CCC2=C3C=CC4(C(C3CCC2=C1)CCC4O)C,non-mutagenic
CC(=O)N(c1ccc2-c3c(Cc2c1)cccc3)Nc1ccc2-c3c(Cc2c1)cccc3,mutagenic
Nc1ccc2c(c1C(C)(C)C)cccc2,non-mutagenic
CNc1ccc(cc1)Nc1c2ccccc2nc2c1cccc2,mutagenic
CCC(=O)C=C,mutagenic
O[C@@H]1C=Cc2c([C@H]1O)cc1c(c2[N+](=O)[O-])cccc1,mutagenic
Cc1ccc2c(c1)c1ccc3c(c1cc2)ccc1c3cccc1C,non-mutagenic
Fc1cccnc1,non-mutagenic
OC(=O)C1NC(Cc2ccccc2O)c2c(C1)c1ccccc1[nH]2,non-mutagenic
CON,non-mutagenic
O=Cc1ccc(cc1)C,non-mutagenic
BrC(C1=C(Cl)C(=O)OC1O)Br,mutagenic
N#[N+]c1ccc(cc1)[N+](=O)[O-],mutagenic
C1Oc2c(O1)cc(cc2)C[C@@H]1CO1,mutagenic
Oc1cc(O)c2c(c1)C(=O)c1c(C2=O)cccc1,mutagenic
CC(=O)c1ccncc1,non-mutagenic
CCN(c1cc(NC(=O)C)c(cc1OC)N=Nc1ccc(cc1)[N+](=O)[O-])CC,mutagenic
ClCc1cccc(c1)N=Nc1ccc(cc1)N(C)C,mutagenic
N1C2C1c1cccc3c1-c1c2cccc1C1C3N1,mutagenic
COc1cc(O)cc2c1cc([N+](=O)[O-])c1c2c2OCOc2cc1C(=O)O,non-mutagenic
OC[C@H]1O[C@@H](Oc2ccc(c3c2C(=O)c2ccccc2C3=O)O)[C@@H]([C@H]([C@@H]1O)O)O,mutagenic
FC(=C)F,mutagenic
O=C1NC(=O)N(C1)/N=C/c1ccc(o1)[N+](=O)[O-],mutagenic
CC(=O)NNc1ccccc1,mutagenic
Nc1cccc2c1nc1ccccc1n2,mutagenic
C=CC1CN2CCC1CC2C(c1ccnc2c1cc(OC)cc2)OC(=O)C(O)C,non-mutagenic
COC(=O)C1=C(CC)C(OC1=O)C,mutagenic
Clc1cccc2c1cccn2,mutagenic
O=NN(CC(=O)C)C[C@H](O)C,mutagenic
CCCC(=O)OC1C2OP(=O)(O)OCC2OC1n1cnc2c1ncnc2NC(=O)CCC,non-mutagenic
O=C1c2cccc3c2c2c4c1cccc4ccc2cc3,non-mutagenic
Cc1cccc(c1)N,non-mutagenic
OCCN(c1ccc(cc1)N=Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])CCO,mutagenic
O=NN1CCC(=O)NC1=O,mutagenic
O=C1c2ccccc2-c2c1ccc1c2c2ccccc2cc1,non-mutagenic
FC(C(C(C(I)(F)F)(F)F)(F)F)(F)F,non-mutagenic
CCCCN(CC[C@H](O)C)N=O,mutagenic
Cc1ccc2c(c1)cc1c(c2)cccc1,mutagenic
OC1CC(O)C(=C)/C(=C/C=C/2\CCCC3(C2CCC3C(/C=C/C(C2CC2)O)C)C)/C1,non-mutagenic
CC(=O)c1cccc(c1)[N+](=O)[O-],mutagenic
C=C[Si](Cl)(Cl)C,mutagenic
O=C1C[C@]2([C@@H]([C@@H]1C)C2)C(C)C,non-mutagenic
OCc1c2ccccc2c(c2c1cccc2)C,mutagenic
c1cc2ccc3c4c2c(c1)ccc4cc1c3[C@@H]2O[C@@H]2CC1,mutagenic
Cc1cccc2c1cc1ccccc1c2,non-mutagenic
BrCc1ccccc1[N+](=O)[O-],non-mutagenic
OCC(C(c1ccccc1)N=N#N)O,mutagenic
CCOCC,non-mutagenic
O=C(c1ccccc1)/C=C/c1cccc(c1)[N+](=O)[O-],non-mutagenic
[O-][n+]1cnc2c(c1N)ncn2Cc1ccccc1,mutagenic
ClC(=O)c1ccccc1C,mutagenic
OS(=O)(=O)Oc1c2ccccc2c2c3c1ccc1c3c(cc2)ccc1,non-mutagenic
CCOc1ccc2c(c1)c(N)c1c(n2)cc(cc1)N,mutagenic
CCCON(C(=O)c1ccccc1)OC(=O)C,mutagenic
OC1C2(Cl)C3(C4(C1(Cl)C1(C2(C3(Cl)C(C41Cl)(Cl)Cl)Cl)Cl)Cl)Cl,non-mutagenic
CC(=O)c1ccccc1,non-mutagenic
CC1=CCCc2c1cc(C)c1c2ccc2c1cccc2,mutagenic
CCCCC(C(C(OC(=O)CC(C(=O)O)CC(=O)O)CC(CC(CCCCC(CC(C(N)C)O)O)O)C)OC(=O)CC(C(=O)O)CC(=O)O)C,non-mutagenic
CCCOc1cc(c(cc1N/N=C(/C(=O)Nc1ccc(cc1)[N+](=O)[O-])\C(=O)C)OC)c1cc(OCCC)c(cc1OC)N/N=C(/C(=O)Nc1ccc(cc1)[N+](=O)[O-])\C(=O)C,mutagenic
COc1ccc(cc1)CCC1OC1,mutagenic
[O-][N+](=O)c1ccc2c(c1)s[nH]c2=O,mutagenic
OC(=O)[C@@H](Cc1ccc(c(c1)O)O)N,mutagenic
Oc1nsc2c1cccc2,non-mutagenic
O=c1ccc2c(o1)c1ccoc1cc2,non-mutagenic
COc1ccc(cc1)c1coc2c(c1=O)c(O)cc(c2)O,non-mutagenic
ON(c1ccc(cc1)Cl)C(=O)C,non-mutagenic
OC(C1CO1)CO,mutagenic
Oc1ccc(cc1)O,non-mutagenic
CCN=NO,mutagenic
CNC(=O)CC(C(=O)NC(c1ccc(cc1)O)C(=O)NC1C(=O)N2C1SC(C2C(=O)O)(C)C)N,non-mutagenic
O1C2C1C1N=NC2C2C1O2,non-mutagenic
CC(=O)ON(c1ccc(cc1)c1ccccc1)C(=O)C,mutagenic
Fc1ccc(cc1)C1OC1C(=O)c1ccccc1,non-mutagenic
CC(=O)Nc1ccccc1,non-mutagenic
CCCCN(CCCC)CCO,non-mutagenic
Cc1ccc2c(c1)c(N)sn2,mutagenic
Cn1c(N)nc2c1c1cccnc1cc2,mutagenic
Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O,mutagenic
O=c1oc2cccc(c2cc1[C@@H]1CCc2c(C1)cccc2)O,non-mutagenic
COc1c2ccc(=O)oc2cc2c1cco2,mutagenic
Oc1ccc2c(c1)cc1c3c2ccc2c3c(cc1)ccc2,mutagenic
CC(Sc1cc(ccc1N)Cc1ccc(c(c1)SC(C)C)N)C,mutagenic
BrC(Br)Br,mutagenic
OC(=O)c1ccccc1O,non-mutagenic
CN(C(=O)NC)N=O,mutagenic
Clc1ccc(cc1)C(=O)NC(C(=O)O)Cc1cc(O)nc2c1cccc2,non-mutagenic
C#CCNC(=NCCSCc1nc[nH]c1C)NC#N,non-mutagenic
CC(COC[C@@H]1OC1)(COC[C@@H]1OC1)C,mutagenic
N=C(Nc1ccccc1)Nc1ccccc1,mutagenic
CCOC(=O)CC(O)C,non-mutagenic
CCCCOc1ccc2c(n1)c(NCCCN(CCCl)CC)c1c(n2)cc(cc1)Cl,mutagenic
C=CC1(C)CC(O)C2(C(C1)CCC1C32CCCC1(C(=O)O3)C)C,non-mutagenic
Cn1c2cc(cnc2nc1[N+](=O)[O-])c1ccccc1,mutagenic
O=C1C=CC(=O)c2c1c(O)ccc2O,mutagenic
CC(CC(=O)/N=c/1\sn(c2c1cc(cc2)[N+](=O)[O-])C(=O)CC(C)C)C,mutagenic
C[C@@H]1C[C@H]2OC(=O)[C@@]3([C@H]2[C@H]([C@@]2([C@H]1C=CC2=O)C)O[C@]3(C)O)C,non-mutagenic
COc1cc(O)c2c(c1)oc1c(c2=O)cc(cc1)OC,mutagenic
[O-][N+](=O)c1ccc2c(c1)sc1c2cccc1,mutagenic
O1C[C@@H]1[C@@H]1OC1,mutagenic
c1ccc2c(c1)cc(c1c2cccc1)[C@@H]1CO1,mutagenic
CCC(=O)N(C1CCCC1N(C)C)c1ccc(c(c1)Cl)Cl,non-mutagenic
Cc1cc(c(c(c1)C(C)(C)C)O)C(c1ncc(n1C)[N+](=O)[O-])O,non-mutagenic
COc1cc(O)c2c(c1)oc1c(c2=O)cc(cc1)O,mutagenic
CCCCCCCC/C=C/CCCCCCCC(=O)O,non-mutagenic
CN(C(=S)SNCCNSC(=S)N(C)C)C,mutagenic
CCOC(=O)C1C(C1(C)C)C=C(C)C,non-mutagenic
Nc1ccc2c(c1)oc1-c(n2)c2ccccc2c(=N)c1,mutagenic
O/N=C/C1N(CCC[n+]2ccc(cc2)C(=O)N)C=CN1C,non-mutagenic
Nc1ccc2c(c1)s[nH]c2=O,non-mutagenic
CNC(=O)c1cccc(c1)NCC(=O)NCCc1ccc(c(c1)OC)OC,non-mutagenic
OCC#N,non-mutagenic
Nc1ccc(cc1)Oc1ccc(c(c1)N)N,mutagenic
OC(=O)[C@@H]1CSCN1,non-mutagenic
Cc1cnc2c(n1)cccc2,non-mutagenic
O=CN1c2cc(OC)c(cc2C23C1C(O)(C(=O)OC)C(OC(=O)C)C1(C3N(CC2)CC=C1)CC)C1(CC2CN(CCc3c1[nH]c1c3cccc1)CC(C2)(O)CC)C(=O)OC,non-mutagenic
OCc1c2ccc(cc2nc2c1ccc1c2cccc1)C,non-mutagenic
COc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,mutagenic
Cc1cc2[nH]c3c(c2c2c1cccc2)c1ccccc1c(c3)C,mutagenic
C=CCCC1CO1,mutagenic
COc1cc2C(=O)CCc2c2c1c1ccccc1cc2,mutagenic
OCC1CCCO1,non-mutagenic
OCC1OC(Oc2ccc(cc2)N=Nc2ccc(cc2)N(C)C)C(C(C1O)O)O,non-mutagenic
CCN([N+](=NO)[O-])CC,mutagenic
Cc1ccc2c3c1ccc1c3c(c2=O)ccc1,mutagenic
CCc1ccc(cc1)NC(=O)c1csc(c1)[N+](=O)[O-],mutagenic
CCOP(=O)(Oc1ccccc1C(=O)OC(C)C)NC(C)C,mutagenic
CC(=O)OC1C(=O)OC2C1OC(=O)C2OC(=O)C,non-mutagenic
OCC12OOC2(C)c2c(O1)cccc2,non-mutagenic
O=C1NC(=O)C(=C1Cl)Cl,mutagenic
C=CCc1ccc(cc1)O,non-mutagenic
CCOC(=O)C=C,non-mutagenic
ClC[C@@H](CBr)Br,mutagenic
CCN(C(=O)Cc1ccccc1)CC,non-mutagenic
NC(=O)c1ccccc1C(=O)N,non-mutagenic
OCCO,non-mutagenic
O=Nc1c(nc2n1cc(s2)C)c1ccc(cc1)[N+](=O)[O-],mutagenic
[O-][N+](=O)c1cc(n(c1C(=O)C)[N+](=O)[O-])[N+](=O)[O-],mutagenic
Fc1ccc2c(c1F)nccc2,mutagenic
Clc1ccc2c(c1)c(N)sn2,mutagenic
Oc1cccc2c1c1ccccc1c1c2cc2ccccc2c1,mutagenic
O=c1nc[nH]c(=O)[nH]1,non-mutagenic
N#C/C(=C\C=C\c1ccccc1[N+](=O)[O-])/c1ccc(cc1)Br,mutagenic
Cc1cccc(c1)C(=O)O,non-mutagenic
C/C=C/c1cc(OC)c(cc1OC)OC,mutagenic
NN1C(=O)c2c(C1=O)cccc2,non-mutagenic
Nc1cc2nc3ccccc3nc2cc1N,mutagenic
CC(CCNc1snc2c1cccc2)C,non-mutagenic
Cc1ccc2c3c1CCc3c1c(-c3ccccc3C3C1O3)c2,mutagenic
OC(=O)c1ccc(c(c1)N)C,mutagenic
COc1ccc2c(-c3c(OC)c(OC)cc4c3c(C2=O)ncc4)c1,non-mutagenic
CCCCN(C[C@@H](CCO)O)N=O,mutagenic
Cc1c(N)cccc1N=[N+](c1cccc(c1C)N)[O-],mutagenic
O=CC1=C2CC(C[C@]2(O)[C@@H]([C@]2([C@]1(C=O)C2)C)OC(=O)C)(C)C,mutagenic
c1ccc2c(c1)c1cc3ccc4c(c3cc1cc2)cncc4,mutagenic
COc1ccc(c(c1)C)N,mutagenic
[O-][N+](=O)C1c2ccccc2C(=O)c2c1cccc2,non-mutagenic
OC1C2OC2c2c(C1O)cc1c3c2ccc2c3c(cc1)ccc2,mutagenic
Cc1ncc[nH]1,non-mutagenic
Clc1cnc(c(c1)Cl)Oc1ccc(cc1)Oc1ncc(cc1Cl)Cl,non-mutagenic
CCCCCN(N=O)CCCCC,mutagenic
[O-][N+](=O)c1ccc2c3c1ccc1c3c(cc2)c(cc1)[N+](=O)[O-],mutagenic
CC(CC(=O)OC1CC2(COC(=O)C)C(C=C1C)OC1C3(C2(C)C(OC(=O)C)C1O)CO3)C,mutagenic
CCCCCCCCCCCCCl,non-mutagenic
ClCCOC(=O)Cc1c(C(=O)O)c2c(n1C)cccc2,mutagenic
[O-][N+](=O)c1ccc(cc1)S(=O)(=O)Nc1ccccn1,non-mutagenic
[O-][N+](=O)c1ccc2c(c1)CCN2,mutagenic
O=C1c2c(ccc(c2C(=O)c2c1c(ccc2O)[N+](=O)[O-])O)[N+](=O)[O-],mutagenic
O=C1c2ccccc2N=C1c1[nH]c2c(c1O)cccc2,mutagenic
ONc1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-],mutagenic
O=C1CCCC=C1,non-mutagenic
Cc1cccc2c1nc1c(c2)ccc2c1cccc2,non-mutagenic
O=C1NCCN1/N=C/c1ccc(o1)[N+](=O)[O-],mutagenic
ClCCN(C(=O)NC1CCC(CC1)C)N=O,mutagenic
ClCCN(c1cccc(c1)/C=C/C(=O)OC1CCC2C1(C)CCC1C2CCC2=CC(=O)NCCC12C)CCCl,non-mutagenic
COc1c(c(C)cc2c1c(O)ccc2O)c1cc(O)c2c(c1O)cc(cc2OC)C,non-mutagenic
Nc1ccn(c(=O)n1)C1C=C(C(C1O)O)CO,non-mutagenic
Nc1[nH]cnc2-c1nc(n2)c1ccc(cc1)[N+](=O)[O-],mutagenic
O=NN(C(C(=O)O)Cc1ccccc1)CC1(O)CCC(C(C1O)O)O,non-mutagenic
O=CNc1scc(n1)c1ccc(s1)[N+](=O)[O-],mutagenic
Nc1cccc2-c3c(Cc12)cccc3,mutagenic
O=Nc1[nH]cnc1c1ccccc1,mutagenic
OCC1OC(O)C(C(C1O)O)NC(=O)N(N=O)C,mutagenic
Cc1ccc2c(-c3ccccc3C2C)c1,mutagenic
COP(=O)(N1CCOCC1)OC,non-mutagenic
Cc1cc2cc3cccc(c3c(c2c(c1)O)O)O,mutagenic
C/C(=C/COC(=O)C)/CCC=C(C)C,non-mutagenic
[O-][N+](=O)c1cc(C)c2c(c1C)c1cc(ccc1[nH]2)C(=O)C,mutagenic
Cl/C=C(\SCc1ccccc1)/Cl,mutagenic
COC(=O)C(Cl)Cl,mutagenic
COc1cc(N=Nc2ccccc2)ccc1[N+](=O)[O-],mutagenic
CCCCNC(=O)n1c(NC(=O)OC)nc2c1cccc2,non-mutagenic
COc1ccc2c(c1)sc(n2)N,mutagenic
OCCN(C(=O)N)N=O,mutagenic
O=c1cc(C)c2c(o1)cc1c(c2)C2(C(O1)(C)OO2)C,mutagenic
[O-][N+](=O)c1ccc2c(c1)c1ccccc1cc2[N+](=O)[O-],mutagenic
COc1cc2CCN(C3c2c(-c2cc4OCOc4cc2C3)c1O)C,non-mutagenic
CCCCCCCC(=O)Nc1snc2c1cccc2,non-mutagenic
COc1ccc(c2c1oc1c3c(OC4C3CCO4)cc(c1c2=O)OC)O,non-mutagenic
[O-][N+](=O)c1ccc2c(c1)/c(=N/C(=O)c1ccccc1Cl)/sn2C(=O)c1ccccc1Cl,mutagenic
OOC(C)(C)C,mutagenic
ClC(=C1OC(=O)C(=C1)Cl)Cl,mutagenic
O=C1CCCN1c1ncc(s1)[N+](=O)[O-],mutagenic
ONc1nc2c(n1C)cc(cn2)c1ccccc1,mutagenic
CCCCCCCCCCCCCC[N+](Cc1ccccc1)(C)C,non-mutagenic
OC1C2C(=O)C3=C(O)c4c(C(=O)C53C1C1C32C(=C(O)c2c(C3=O)c(O)c(cc2O)C)C(=O)C5C1O)c(O)c(cc4O)C,non-mutagenic
ClCCN(C(=O)NCC(=O)N)N=O,mutagenic
[O-][N+](=O)c1ccc(cc1)c1ccc(cc1)C(C)(C)C,non-mutagenic
CCCOP(=S)(OP(=S)(OCCC)OCCC)OCCC,non-mutagenic
Nc1cc(C)c2c(c1C)c1ccccc1[nH]2,mutagenic
O=C(c1ccccc1)OCC(COC(=O)c1ccccc1)(COC(=O)c1ccccc1)C,non-mutagenic
CC12OOC2(C)Oc2c1ccc1c2nccc1,non-mutagenic
CC(CCOC(=O)C)C,non-mutagenic
CCCCCCCCCCCCCCCCCC(=O)OCC1=CC=C2C1=C[C@@H](CC=C2C)C(=C)C,mutagenic
COc1c(OC)ccc2c1c(=O)n(C)c1c2ccc2c1cc1OCOc1c2,mutagenic
Cc1ccc(cc1)C(=O)ON(C(=O)c1ccccc1)OCc1ccccc1,mutagenic
N#N=Nc1nc2c([nH]1)cccc2,mutagenic
Ic1ccc(cc1)[n+]1nc(nn1c1ccc(cc1)[N+](=O)[O-])c1ccccc1,non-mutagenic
OCc1ccc(cc1)Cl,non-mutagenic
CC(=O)OC/C=C(/C=C/C=C(/C=C/C1=C(C)CCCC1(C)C)\C)\C,non-mutagenic
OCC(=O)C1(O)CC(OC2OC(C)C(C(C2)N(C)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)c(OC)ccc2,mutagenic
CN(CCCNc1c2ccccc2nc2c1c(ccc2N(CCOC(=O)C)CCOC(=O)C)[N+](=O)[O-])C,mutagenic
ONc1ccc(cc1)c1ccccc1,mutagenic
OS(=O)(=O)c1ccccc1,non-mutagenic
[O-][N+](=O)c1ccc2c(c1)c(cc1c2c(ccc1)[N+](=O)[O-])[N+](=O)[O-],mutagenic
